green_channel,red_channel,ir_channel,Anomaly_ch0,Anomaly_ch1,Anomaly_ch2,Anomaly_ch2
16005,44539,13180,0,0,1,0
16475,44952,9036,0,0,1,0
16893,45323,6063,0,0,1,0
17256,45644,4098,0,0,1,0
17559,45913,2950,0,0,1,0
17804,46130,2424,0,0,1,0
17994,46301,2343,0,0,1,0
18135,46426,2555,0,0,1,0
18232,46512,2939,0,0,1,0
18296,46569,3404,0,0,1,0
18334,46602,3892,0,0,1,0
18350,46617,4356,0,0,1,0
18351,46618,4764,0,0,1,0
18345,46615,5103,0,0,1,0
18336,46609,5371,0,0,1,0
18328,46602,5575,0,0,1,0
18323,46591,5720,0,0,1,0
18320,46581,5816,0,0,1,0
18316,46572,5874,0,0,1,0
18307,46563,5902,0,0,1,0
18301,46555,5909,0,0,1,0
18299,46552,5902,0,0,1,0
18298,46549,5884,0,0,1,0
18294,46542,5856,0,0,1,0
18289,46535,5823,0,0,1,0
18282,46527,5786,0,0,1,0
18266,46513,5746,0,0,1,0
18239,46489,5696,0,0,1,0
18202,46457,5629,0,0,1,0
18154,46412,5542,0,0,1,0
18091,46349,5433,0,0,1,0
18006,46267,5299,0,0,1,0
17902,46170,5143,0,0,1,0
17785,46061,4968,0,0,1,0
17659,45945,4780,0,0,1,0
17530,45829,4587,0,0,1,0
17404,45715,4393,0,0,1,0
17286,45606,4208,0,0,1,0
17178,45505,4038,0,0,1,0
17082,45414,3888,0,0,1,0
16999,45338,3760,0,0,1,0
16933,45276,3657,0,0,1,0
16887,45230,3578,0,0,1,0
16860,45201,3525,0,0,1,0
16849,45188,3494,0,0,1,0
16849,45188,3480,0,0,1,0
16854,45192,3476,0,0,1,0
16857,45199,3479,0,0,1,0
16859,45207,3486,0,0,1,0
16857,45213,3492,0,0,1,0
16849,45210,3492,0,0,1,0
16832,45197,3480,0,0,1,0
16806,45177,3454,0,0,1,0
16774,45150,3411,0,0,1,0
16733,45115,3349,0,0,1,0
16682,45068,3272,0,0,1,0
16622,45010,3183,0,0,1,0
16555,44946,3081,0,0,1,0
16481,44876,2967,0,0,1,0
16402,44800,2842,0,0,1,0
16321,44724,2711,0,0,1,0
16236,44645,2576,0,0,1,0
16146,44562,2437,0,0,1,0
16055,44478,2294,0,0,1,0
15961,44393,2147,0,0,1,0
15864,44308,2000,0,0,1,0
15763,44226,1852,0,0,1,0
15660,44145,1701,0,0,1,0
15554,44061,1548,0,0,1,0
15449,43974,1396,0,0,1,0
15343,43884,1243,0,0,1,0
15238,43795,1088,0,0,1,0
15134,43705,931,0,0,1,0
15031,43612,775,0,0,1,0
14932,43518,1937,0,0,1,0
14835,43428,6471,0,0,1,0
14741,43342,14110,0,0,1,0
14645,43258,23116,0,0,1,0
14550,43174,32260,0,0,1,0
14456,43096,40752,0,0,1,0
14369,43024,48137,0,0,1,0
14288,42955,54213,0,0,1,0
14210,42891,58950,0,0,1,0
14135,42831,62439,0,0,1,0
14068,42773,64839,0,0,1,0
14008,42713,807,0,0,1,0
13951,42654,1609,0,0,1,0
13897,42600,1891,0,0,1,0
13846,42551,1810,0,0,1,0
13800,42504,1501,0,0,1,0
13754,42458,1065,0,0,1,0
13709,42414,575,0,0,1,0
13662,42372,83,0,0,1,0
13611,42331,65161,0,0,1,0
13559,42289,64753,0,0,1,0
13508,42249,64402,0,0,1,0
13455,42207,64109,0,0,1,0
13401,42163,63867,0,0,1,0
13346,42119,63669,0,0,1,0
13291,42076,63510,0,0,1,0
13238,42032,63387,0,0,1,0
13186,41985,63291,0,0,1,0
