green_channel,red_channel,ir_channel,Anomaly_ch0
27592,58485,37403,0
27585,58471,37397,0
27578,58459,37390,0
27571,58447,37382,0
27563,58434,37373,0
27553,58415,37355,0
27539,58394,37324,0
27522,58371,37286,0
27502,58344,37244,0
27480,58315,37199,0
27455,58287,37154,0
27430,58262,37111,0
27407,58237,37069,0
27385,58213,37025,0
27364,58192,36981,0
27344,58175,36938,0
27322,58156,36896,0
27298,58135,36852,0
27271,58110,36806,0
27240,58082,36761,0
27205,58053,36719,0
27171,58025,36678,0
27138,58000,36641,0
27104,57978,36611,0
27072,57955,36585,0
27041,57928,36555,0
27010,57901,36524,0
26974,57875,36494,0
26933,57848,36458,0
26895,57822,36414,0
26860,57799,36367,0
26822,57772,36317,0
26782,57743,36265,0
26739,57713,36212,0
26694,57682,36160,0
26647,57650,36111,0
26600,57619,36067,0
26560,57592,36026,0
26528,57573,35990,0
26499,57558,35958,0
26471,57546,35926,0
26445,57532,35895,0
26423,57519,35867,0
26400,57508,35839,0
26369,57492,35811,0
26332,57471,35784,0
26295,57449,35757,0
26255,57429,35726,0
26210,57406,35693,0
26162,57380,35660,0
26116,57355,35627,0
26072,57332,35593,0
26030,57310,35555,0
25989,57289,35515,0
25950,57270,35477,0
25909,57248,35440,0
25866,57222,35400,0
25819,57191,35356,0
25770,57159,35313,0
25717,57124,35269,0
25663,57088,35227,0
25611,57056,35187,0
25564,57029,35149,0
25522,57004,35110,0
25479,56977,35065,0
25436,56950,35016,0
25388,56920,34965,0
25332,56888,34912,0
25270,56855,34858,0
25205,56826,34804,0
25141,56799,34751,0
25076,56771,34699,0
25015,56746,34647,0
24962,56726,34595,0
24911,56707,34544,0
24860,56684,34490,0
24808,56656,34431,0
24759,56624,34373,0
24708,56591,34320,0
24654,56555,34265,0
24599,56519,34210,0
24547,56489,34164,0
24504,56467,34133,0
24473,56455,34117,0
24454,56451,34119,0
24444,56457,34141,0
24447,56472,34182,0
24462,56495,34239,0
24491,56528,34314,0
24534,56575,34413,0
24587,56636,34538,0
24649,56710,34680,0
24719,56796,34836,0
24797,56892,35004,0
24882,56993,35180,0
24972,57093,35357,0
25067,57190,35531,0
25161,57281,35700,0
25245,57363,35857,0
25317,57432,35996,0
25379,57492,36115,0
25431,57541,36220,0
25474,57580,36313,0
25507,57607,36392,0
25535,57627,36458,0
25555,57643,36514,0
25568,57655,36563,0
25574,57661,36602,0
25580,57663,36629,0
25581,57661,36650,0
25575,57657,36664,0
25565,57655,36669,0
25554,57655,36668,0
25545,57660,36671,0
25538,57670,36682,0
25539,57683,36697,0
25547,57699,36719,0
25559,57720,36749,0
25569,57740,36783,0
25579,57759,36817,0
25590,57781,36855,0
25603,57806,36900,0
25612,57827,36947,0
25621,57845,36989,0
25631,57859,37025,0
25638,57870,37057,0
25643,57880,37086,0
25645,57891,37111,0
25646,57903,37132,0
25642,57912,37148,0
25631,57917,37156,0
25616,57917,37153,0
25598,57914,37145,0
25579,57905,37133,0
25559,57892,37116,0
25538,57879,37097,0
25516,57865,37077,0
25491,57848,37056,0
25463,57827,37031,0
25438,57807,37010,0
25420,57797,36998,0
25406,57793,36994,0
25398,57797,36998,0
25398,57807,37006,0
25401,57820,37018,0
25406,57832,37031,0
25408,57840,37041,0
25405,57842,37047,0
25400,57841,37053,0
25390,57838,37057,0
25375,57836,37058,0
25359,57835,37061,0
25345,57834,37067,0
25333,57833,37071,0
25321,57829,37070,0
25307,57821,37062,0
25292,57808,37049,0
25273,57789,37029,0
25254,57768,37004,0
25237,57747,36979,0
25217,57724,36951,0
25195,57699,36915,0
25171,57674,36870,0
25143,57650,36819,0
25108,57625,36767,0
25068,57598,36711,0
25029,57570,36653,0
24990,57541,36596,0
24949,57511,36547,0
24909,57482,36504,0
24872,57454,36464,0
24843,57431,36428,0
24818,57413,36395,0
24796,57395,36360,0
24779,57377,36325,0
24763,57360,36288,0
24741,57340,36246,0
24709,57313,36199,0
24673,57285,36150,0
24639,57260,36108,0
24608,57241,36075,0
24582,57225,36046,0
24562,57210,36017,0
24545,57196,35987,0
24525,57178,35954,0
24502,57153,35912,0
24477,57123,35864,0
24454,57094,35818,0
24428,57069,35776,0
24402,57045,35736,0
24379,57024,35698,0
24361,57006,35668,0
24345,56992,35643,0
24328,56979,35615,0
24308,56966,35582,0
24284,56950,35549,0
24252,56931,35515,0
24217,56910,35482,0
24185,56891,35452,0
24159,56878,35432,0
24137,56869,35421,0
24117,56860,35409,0
24097,56851,35394,0
24074,56840,35375,0
24047,56827,35351,0
24020,56812,35317,0
23993,56798,35278,0
23964,56783,35237,0
23934,56765,35197,0
23906,56746,35160,0
23884,56726,35128,0
23863,56705,35095,0
23840,56681,35057,0
23813,56654,35013,0
23783,56627,34968,0
23747,56598,34921,0
23711,56568,34873,0
23678,56539,34825,0
23648,56511,34779,0
23619,56485,34739,0
23588,56461,34702,0
23558,56437,34665,0
23527,56415,34628,0
23491,56390,34589,0
23453,56360,34544,0
23414,56328,34490,0
23377,56295,34435,0
23342,56263,34383,0
23309,56233,34334,0
23283,56208,34291,0
23266,56189,34260,0
23257,56177,34241,0
23256,56174,34233,0
23265,56179,34237,0
23281,56192,34259,0
23302,56212,34300,0
23332,56240,34362,0
23376,56278,34448,0
23435,56329,34558,0
23504,56390,34685,0
23583,56460,34823,0
23674,56538,34972,0
23771,56615,35128,0
23865,56690,35287,0
23954,56762,35448,0
24040,56831,35608,0
24126,56898,35764,0
24210,56961,35914,0
24293,57020,36055,0
24371,57076,36184,0
24442,57127,36297,0
24503,57171,36390,0
24555,57209,36463,0
24599,57246,36524,0
24635,57279,36578,0
24664,57309,36623,0
24686,57336,36658,0
24704,57362,36688,0
24717,57385,36715,0
24729,57400,36738,0
24743,57412,36755,0
24756,57422,36768,0
24764,57428,36778,0
24767,57431,36785,0
24770,57432,36791,0
24774,57434,36804,0
24779,57438,36828,0
24787,57447,36857,0
24801,57461,36888,0
24818,57478,36922,0
24833,57493,36957,0
24847,57504,36988,0
24860,57510,37012,0
24868,57514,37031,0
24869,57514,37044,0
24863,57511,37050,0
24857,57507,37052,0
24850,57504,37054,0
24842,57500,37053,0
24832,57496,37045,0
24824,57491,37034,0
24816,57486,37025,0
24809,57482,37017,0
24802,57480,37007,0
24798,57478,36999,0
24795,57475,36995,0
24790,57470,36993,0
24786,57467,36992,0
24786,57470,36996,0
24790,57479,37009,0
24798,57488,37026,0
24809,57499,37044,0
24821,57512,37063,0
24831,57522,37079,0
24838,57527,37089,0
24847,57531,37096,0
24857,57537,37104,0
24863,57541,37114,0
24861,57541,37120,0
24852,57540,37123,0
24839,57536,37122,0
24823,57528,37119,0
24804,57516,37108,0
24788,57506,37092,0
24774,57495,37073,0
24758,57483,37049,0
24741,57466,37019,0
24720,57443,36982,0
24695,57418,36940,0
24667,57390,36894,0
24639,57362,36841,0
24613,57334,36787,0
24592,57307,36741,0
24572,57284,36702,0
24553,57263,36666,0
24535,57246,36628,0
24517,57228,36589,0
24496,57207,36552,0
24474,57183,36515,0
24453,57162,36472,0
24431,57142,36427,0
24408,57124,36382,0
24386,57104,36339,0
24363,57083,36297,0
24338,57061,36260,0
24313,57038,36224,0
24290,57012,36186,0
24269,56986,36149,0
24246,56957,36111,0
24221,56927,36068,0
24194,56895,36019,0
24165,56862,35971,0
24134,56830,35926,0
24102,56801,35885,0
24071,56776,35847,0
24044,56756,35813,0
24020,56739,35782,0
23998,56723,35754,0
23980,56708,35725,0
23964,56695,35698,0
23946,56682,35671,0
23924,56666,35639,0
23902,56645,35602,0
23881,56625,35567,0
23859,56605,35536,0
23834,56584,35509,0
23813,56567,35482,0
23793,56556,35455,0
23770,56546,35427,0
23744,56532,35398,0
23721,56516,35367,0
23701,56500,35337,0
23679,56484,35310,0
23655,56466,35283,0
23631,56448,35254,0
23605,56430,35227,0
23579,56410,35199,0
23551,56388,35164,0
23522,56364,35125,0
23490,56335,35085,0
23455,56303,35037,0
23419,56269,34982,0
23381,56235,34927,0
23341,56203,34876,0
23303,56179,34828,0
23271,56159,34781,0
23242,56141,34738,0
23213,56123,34701,0
23183,56103,34667,0
23156,56085,34632,0
23132,56066,34596,0
23104,56044,34557,0
23070,56017,34512,0
23031,55986,34464,0
22993,55954,34416,0
22955,55924,34376,0
22920,55895,34344,0
22894,55873,34320,0
22877,55862,34309,0
22870,55865,34316,0
22874,55878,34336,0
22888,55899,34370,0
22912,55929,34425,0
22946,55968,34500,0
22991,56012,34595,0
23047,56062,34710,0
23120,56122,34847,0
23208,56194,35005,0
23307,56277,35176,0
23415,56368,35359,0
23528,56464,35550,0
23643,56561,35742,0
23755,56656,35932,0
23859,56747,36112,0
23953,56832,36281,0
24035,56906,36436,0
24109,56969,36576,0
24177,57027,36704,0
24240,57082,36820,0
24293,57130,36922,0
24337,57172,37006,0
24375,57207,37076,0
24408,57236,37136,0
24435,57260,37187,0
24458,57279,37226,0
24476,57290,37255,0
24488,57294,37280,0
24494,57293,37301,0
24497,57290,37318,0
24499,57290,37337,0
24499,57293,37361,0
24499,57300,37391,0
24504,57309,37428,0
24514,57319,37472,0
24527,57330,37519,0
24540,57341,37565,0
24557,57354,37612,0
24577,57369,37664,0
24598,57386,37719,0
24620,57403,37773,0
24644,57421,37827,0
24673,57443,37881,0
24701,57466,37934,0
24726,57485,37979,0
24749,57497,38011,0
24763,57502,38033,0
24763,57497,38043,0
24749,57484,38039,0
24731,57465,38023,0
24712,57444,38007,0
24694,57419,37993,0
24678,57391,37981,0
24664,57364,37972,0
24655,57341,37966,0
24649,57321,37963,0
24644,57303,37958,0
24643,57288,37951,0
24641,57274,37944,0
24636,57255,37934,0
24626,57232,37922,0
24613,57212,37910,0
24598,57194,37902,0
24578,57175,37896,0
24558,57161,37893,0
24543,57154,37896,0
24531,57146,37900,0
24513,57134,37899,0
24487,57114,37891,0
24455,57091,37880,0
24421,57068,37871,0
24385,57046,37860,0
24351,57025,37846,0
24318,57003,37829,0
24283,56979,37811,0
24246,56955,37788,0
24207,56928,37760,0
24170,56900,37730,0
24133,56871,37696,0
24098,56841,37655,0
24062,56808,37607,0
24023,56776,37557,0
23979,56741,37507,0
23930,56701,37454,0
23879,56660,37399,0
23830,56618,37346,0
23779,56575,37297,0
23730,56531,37249,0
23684,56494,37203,0
23640,56465,37162,0
23594,56438,37121,0
23545,56410,37078,0
23497,56384,37033,0
23447,56357,36989,0
23396,56325,36944,0
23349,56291,36898,0
23310,56258,36855,0
23274,56228,36820,0
23240,56202,36789,0
23206,56180,36757,0
23171,56161,36722,0
23135,56141,36686,0
23100,56119,36647,0
23066,56090,36600,0
23031,56058,36549,0
22993,56027,36501,0
22948,55997,36456,0
22902,55969,36416,0
22860,55948,36381,0
22822,55931,36351,0
22787,55915,36323,0
22758,55902,36293,0
22734,55892,36261,0
22708,55879,36227,0
22680,55861,36186,0
22649,55836,36140,0
22617,55809,36092,0
22581,55779,36048,0
22542,55747,36005,0
22505,55719,35966,0
22472,55697,35931,0
22441,55681,35900,0
22412,55665,35871,0
22386,55650,35841,0
22361,55632,35811,0
22330,55610,35778,0
22295,55586,35743,0
22262,55559,35704,0
22232,55535,35667,0
22202,55512,35634,0
22173,55489,35599,0
22146,55468,35562,0
22114,55445,35523,0
22075,55416,35479,0
22030,55385,35427,0
21983,55353,35373,0
21935,55320,35324,0
21888,55290,35279,0
21842,55262,35237,0
21798,55237,35196,0
21755,55213,35151,0
21710,55188,35100,0
21665,55159,35044,0
21623,55130,34987,0
21582,55100,34934,0
21541,55067,34879,0
21502,55034,34823,0
21466,55001,34771,0
21430,54966,34722,0
21390,54929,34671,0
21345,54892,34621,0
21301,54860,34578,0
21260,54834,34548,0
21226,54818,34531,0
21206,54814,34533,0
21203,54825,34557,0
21215,54848,34605,0
21240,54880,34674,0
21280,54921,34765,0
21336,54974,34880,0
21403,55038,35018,0
21481,55111,35173,0
21572,55192,35344,0
21674,55281,35526,0
21780,55374,35715,0
21885,55466,35906,0
21988,55555,36093,0
22084,55638,36273,0
22167,55711,36437,0
22239,55772,36579,0
22305,55826,36701,0
22363,55873,36808,0
22409,55913,36902,0
22446,55948,36984,0
22479,55979,37055,0
22507,56008,37115,0
22528,56034,37166,0
22543,56054,37208,0
22551,56064,37240,0
22552,56066,37268,0
22547,56062,37292,0
22542,56058,37312,0
22543,56060,37335,0
22546,56068,37365,0
22550,56079,37397,0
22558,56091,37427,0
22568,56105,37459,0
22580,56122,37497,0
22589,56139,37539,0
22595,56153,37579,0
22601,56169,37621,0
22608,56187,37666,0
22615,56206,37710,0
22624,56226,37751,0
22635,56244,37790,0
22642,56257,37827,0
22647,56268,37856,0
22648,56275,37874,0
22643,56280,37884,0
22632,56277,37887,0
22616,56266,37881,0
22597,56253,37869,0
22577,56243,37858,0
22555,56234,37848,0
22527,56219,37835,0
22498,56202,37820,0
22469,56186,37804,0
22438,56172,37786,0
22407,56158,37765,0
22384,56145,37744,0
22369,56137,37729,0
22359,56134,37723,0
22349,56134,37721,0
22344,56139,37724,0
22344,56145,37729,0
22341,56149,37733,0
22332,56146,37729,0
22316,56138,37719,0
22292,56126,37707,0
22263,56109,37695,0
22231,56086,37678,0
22198,56063,37659,0
22166,56043,37641,0
22135,56024,37624,0
22105,56007,37605,0
22077,55993,37587,0
22046,55979,37568,0
22012,55963,37549,0
21973,55942,37526,0
21930,55919,37501,0
21886,55893,37472,0
21841,55865,37442,0
21797,55837,37405,0
21756,55812,37363,0
21716,55787,37318,0
21671,55759,37268,0
21625,55729,37217,0
21579,55701,37165,0
21531,55673,37107,0
21476,55639,37046,0
21420,55602,36987,0
21365,55569,36933,0
21312,55541,36883,0
21261,55514,36833,0
21212,55489,36785,0
21167,55470,36744,0
21124,55455,36709,0
21086,55442,36671,0
21049,55430,36628,0
21011,55413,36582,0
20969,55389,36535,0
20922,55358,36483,0
20874,55324,36429,0
20827,55291,36382,0
20781,55263,36344,0
20735,55241,36311,0
20693,55227,36284,0
20656,55215,36259,0
20620,55200,36231,0
20584,55181,36196,0
20547,55162,36155,0
20513,55140,36114,0
20478,55114,36071,0
20443,55088,36027,0
20407,55066,35982,0
20368,55045,35940,0
20325,55023,35896,0
20279,54998,35851,0
20235,54972,35807,0
20193,54947,35766,0
20153,54926,35729,0
20116,54907,35694,0
20082,54893,35664,0
20047,54883,35634,0
20010,54873,35601,0
19974,54863,35563,0
19939,54853,35528,0
19902,54842,35497,0
19864,54828,35467,0
19829,54816,35440,0
19801,54808,35420,0
19774,54800,35401,0
19745,54783,35377,0
19712,54760,35342,0
19673,54732,35299,0
19626,54701,35249,0
19577,54665,35192,0
19530,54629,35132,0
19489,54597,35078,0
19452,54567,35027,0
19416,54535,34974,0
19381,54503,34917,0
19347,54473,34859,0
19312,54446,34801,0
19277,54422,34741,0
19240,54399,34679,0
19200,54379,34622,0
19154,54358,34569,0
19106,54332,34517,0
19060,54307,34468,0
19018,54283,34423,0
18977,54258,34381,0
18937,54234,34337,0
18899,54215,34294,0
18860,54197,34253,0
18819,54175,34208,0
18776,54146,34155,0
18730,54113,34100,0
18682,54077,34046,0
18635,54041,33996,0
18594,54008,33950,0
18563,53984,33914,0
18543,53970,33897,0
18537,53967,33904,0
18547,53977,33937,0
18572,54001,33997,0
18613,54040,34083,0
18668,54093,34187,0
18739,54158,34307,0
18826,54235,34451,0
18923,54322,34616,0
19027,54416,34797,0
19137,54514,34988,0
19252,54614,35185,0
19369,54713,35383,0
19486,54810,35573,0
19600,54906,35757,0
19707,54998,35934,0
19801,55080,36093,0
19879,55148,36226,0
19941,55202,36333,0
19993,55248,36424,0
20037,55285,36504,0
20076,55315,36573,0
20113,55340,36629,0
20146,55363,36676,0
20176,55385,36716,0
20206,55405,36748,0
20236,55428,36776,0
20262,55450,36803,0
20284,55467,36830,0
20304,55480,36851,0
20327,55492,36869,0
20349,55502,36890,0
20370,55510,36916,0
20393,55521,36944,0
20421,55533,36978,0
20449,55550,37021,0
20480,55572,37073,0
