green_channel,red_channel,ir_channel
30233,54778,23885
30184,54738,23820
30171,54729,23800
30195,54751,23826
30255,54803,23895
30348,54885,24003
30469,54994,24146
30613,55124,24318
30772,55266,24514
30942,55413,24725
31116,55559,24943
31286,55700,25162
31445,55837,25377
31595,55967,25585
31735,56085,25783
31862,56192,25966
31977,56287,26131
32077,56372,26275
32159,56442,26394
32223,56494,26488
32267,56527,26554
32292,56543,26595
32300,56546,26614
32293,56538,26607
32269,56516,26576
32230,56481,26521
32178,56432,26446
32115,56371,26354
32041,56299,26246
31952,56217,26122
31849,56126,25983
31735,56025,25834
31613,55919,25676
31486,55814,25511
31357,55708,25342
31227,55601,25171
31096,55492,24998
30962,55382,24824
30825,55268,24647
30686,55152,24467
30547,55035,24288
30414,54920,24115
30286,54808,23948
30161,54701,23786
30041,54597,23631
29927,54498,23482
29816,54404,23337
29708,54314,23196
29605,54229,23060
29511,54150,22932
29424,54075,22810
29339,54003,22693
29258,53933,22582
29181,53869,22474
29108,53810,22371
29038,53753,22273
28971,53697,22177
28910,53642,22086
28853,53590,22003
28800,53543,21928
28752,53503,21861
28710,53468,21799
28670,53434,21740
28631,53401,21684
28593,53371,21631
28556,53345,21582
28521,53321,21536
28490,53298,21492
28460,53275,21448
28433,53251,21406
28407,53226,21369
28379,53200,21332
28347,53175,21292
28314,53149,21247
28279,53119,21198
28241,53086,21145
28199,53050,21087
28155,53009,21025
28104,52965,20961
28051,52920,20893
27996,52873,20822
27940,52827,20749
27883,52781,20679
27828,52736,20608
27776,52691,20537
27727,52650,20472
27682,52611,20415
27645,52579,20368
27624,52561,20338
27624,52565,20336
27655,52598,20378
27731,52666,20476
27867,52781,20647
28068,52952,20907
28336,53185,21260
28669,53477,21699
29056,53819,22212
29485,54196,22784
29944,54595,23399
30423,55006,24039
30913,55421,24687
31397,55828,25330
31863,56222,25954
32307,56601,26553
32727,56958,27120
33118,57288,27651
33476,57588,28136
33797,57857,28573
34083,58094,28962
34333,58300,29304
34544,58475,29598
34718,58623,29839
34857,58742,30026
34963,58829,30165
35035,58885,30262
35075,58915,30318
35083,58917,30332
35061,58891,30305
35012,58843,30244
34938,58778,30151
34843,58693,30027
34727,58593,29879
34594,58479,29710
34449,58356,29520
34293,58221,29312
34128,58080,29092
33958,57936,28865
33785,57791,28638
33611,57645,28410
33438,57498,28184
33266,57351,27958
33094,57204,27730
32922,57054,27497
32749,56899,27262
32578,56742,27029
32411,56588,26799
32251,56442,26577
32101,56307,26368
31963,56183,26173
31839,56073,25997
31730,55981,25849
31642,55909,25734
31580,55858,25653
31546,55832,25607
31540,55831,25599
31560,55856,25629
31608,55905,25695
31680,55972,25790
31769,56053,25910
31872,56145,26049
31983,56244,26200
32100,56348,26360
32222,56455,26525
32345,56562,26690
32469,56671,26852
32590,56778,27009
32706,56880,27159
32815,56971,27299
32914,57056,27429
33002,57131,27545
33077,57193,27646
33137,57237,27725
33180,57266,27779
33205,57279,27813
33210,57279,27826
33198,57267,27815
33171,57243,27784
33131,57206,27733
33077,57156,27661
33010,57095,27569
32933,57025,27460
32845,56946,27337
32743,56858,27203
32629,56764,27060
32511,56666,26906
32393,56564,26741
32272,56456,26571
32149,56346,26396
32022,56234,26218
31889,56121,26039
31753,56006,25863
31615,55893,25689
31480,55780,25517
31347,55666,25345
31212,55551,25170
31078,55437,24996
30949,55325,24825
30826,55217,24658
30708,55111,24500
30598,55010,24348
30494,54914,24201
30392,54823,24059
30292,54734,23924
30195,54652,23797
30106,54578,23679
30021,54510,23569
29942,54446,23463
29868,54387,23365
29800,54333,23276
29739,54280,23195
29686,54230,23116
29637,54186,23041
29593,54148,22971
29552,54115,22910
29514,54083,22853
29478,54050,22798
29439,54019,22744
29397,53989,22689
29352,53955,22629
29309,53920,22564
29267,53887,22499
29225,53854,22437
29183,53821,22377
29144,53791,22321
29108,53761,22269
29071,53728,22219
29030,53692,22165
28986,53652,22106
28936,53610,22044
28884,53566,21977
28833,53522,21910
28780,53476,21844
28726,53430,21777
28673,53384,21713
28623,53341,21653
28579,53302,21596
28545,53272,21547
28521,53251,21512
28511,53245,21498
28526,53264,21521
28582,53314,21595
28687,53404,21735
28851,53544,21954
29078,53741,22257
29368,53992,22639
29713,54293,23092
30107,54637,23602
30537,55011,24160
30988,55402,24752
31449,55801,25363
31910,56201,25979
32363,56593,26589
32800,56967,27182
33217,57320,27749
33611,57648,28279
33972,57948,28768
34296,58219,29211
34584,58462,29608
34836,58677,29954
35051,58859,30251
35228,59011,30501
35369,59132,30702
35478,59223,30854
35553,59285,30957
35594,59316,31014
35606,59319,31028
35589,59297,31000
35544,59251,30931
35475,59184,30828
35384,59097,30698
35275,58994,30542
35146,58876,30367
35003,58745,30176
34847,58606,29974
34686,58466,29763
34521,58324,29546
34353,58179,29323
34184,58033,29095
34017,57889,28867
33850,57745,28642
33683,57602,28421
33519,57458,28199
33353,57312,27973
33181,57164,27743
33003,57012,27509
32824,56861,27276
32652,56715,27050
32490,56579,26837
32343,56456,26644
32217,56350,26474
32114,56264,26335
32038,56201,26233
31989,56163,26169
31969,56148,26142
31975,56157,26150
32005,56190,26191
32057,56246,26263
32132,56319,26362
32225,56404,26485
32332,56497,26628
32452,56598,26784
32579,56703,26946
32707,56807,27110
32833,56909,27275
32953,57008,27437
33065,57102,27591
33168,57188,27731
33260,57263,27855
33340,57328,27962
33406,57382,28052
33458,57424,28123
33493,57454,28171
33511,57470,28193
33514,57471,28188
33501,57456,28162
33472,57427,28118
33430,57386,28061
33379,57337,27992
33318,57279,27910
33245,57213,27811
33163,57142,27698
33072,57064,27573
32972,56977,27438
32862,56882,27289
32748,56780,27130
32631,56677,26965
32508,56572,26798
32377,56463,26626
32241,56349,26449
32100,56233,26270
31956,56112,26090
31812,55990,25907
31672,55868,25724
31539,55748,25540
31406,55630,25358
31271,55515,25176
31136,55404,24999
31005,55297,24830
30877,55195,24670
30754,55096,24515
30639,55000,24363
30530,54907,24217
30424,54819,24076
30322,54733,23942
30226,54651,23819
30140,54576,23703
30060,54507,23595
29986,54445,23495
29918,54390,23401
29854,54342,23314
29793,54297,23232
29736,54252,23154
29683,54210,23080
29636,54169,23010
29590,54128,22944
29548,54087,22882
29509,54049,22822
29472,54014,22765
29435,53980,22711
29396,53946,22654
29358,53915,22596
29318,53884,22538
29280,53854,22481
29245,53824,22425
29209,53790,22368
29167,53754,22309
29120,53715,22251
29069,53675,22190
29017,53635,22125
28963,53591,22058
28907,53544,21988
28847,53496,21914
28786,53449,21838
28724,53400,21763
28662,53351,21684
28600,53302,21605
28538,53256,21526
28475,53208,21447
28413,53160,21369
28358,53115,21293
28314,53077,21229
28283,53051,21187
28276,53048,21182
28307,53078,21225
28393,53151,21335
28543,53275,21528
28764,53459,21811
29058,53707,22183
29414,54012,22638
29818,54363,23163
30259,54746,23737
30726,55150,24343
31208,55563,24969
31691,55972,25597
32164,56371,26218
32620,56753,26818
33050,57112,27388
33449,57445,27919
33817,57750,28408
34149,58021,28849
34438,58258,29241
34684,58462,29580
34894,58635,29867
35065,58778,30099
35197,58886,30276
35287,58962,30400
35341,59010,30476
35361,59031,30509
35350,59026,30502
35311,58995,30456
35247,58940,30372
35159,58864,30252
35046,58766,30099
34909,58647,29919
34756,58512,29713
34591,58363,29487
34412,58202,29245
34224,58033,28991
34027,57857,28725
33825,57675,28452
33614,57486,28174
33397,57295,27893
33180,57106,27611
32962,56918,27324
32741,56729,27030
32516,56540,26731
32287,56351,26430
32056,56161,26126
31827,55970,25828
31605,55785,25539
31397,55613,25270
31208,55459,25024
31045,55322,24804
30909,55205,24614
30805,55115,24463
30736,55054,24356
30698,55023,24294
30693,55022,24277
30719,55048,24299
30773,55097,24358
30850,55168,24452
30947,55257,24573
31059,55364,24714
31183,55481,24872
31317,55602,25042
31456,55722,25218
31594,55836,25394
31724,55943,25561
31843,56040,25716
31948,56128,25856
32040,56206,25981
32115,56271,26085
32174,56321,26166
32217,56356,26224
32244,56375,26258
32252,56378,26266
32241,56367,26251
32211,56343,26214
32165,56307,26156
32104,56259,26078
32030,56199,25979
31945,56125,25862
31849,56038,25730
31740,55939,25583
31617,55831,25420
31482,55715,25241
31340,55591,25052
31193,55463,24858
31037,55332,24657
30874,55200,24449
30707,55064,24233
30536,54923,24010
30361,54780,23785
30184,54635,23559
30010,54491,23335
29839,54350,23114
29674,54213,22898
29513,54078,22686
29356,53946,22481
29203,53819,22283
29057,53697,22090
28918,53579,21903
28787,53465,21722
28664,53356,21550
28546,53253,21385
28433,53157,21229
28326,53068,21084
28224,52986,20950
28130,52910,20825
28042,52839,20709
27957,52771,20600
27874,52704,20498
27795,52637,20402
27720,52574,20310
27649,52515,20219
27580,52460,20129
27517,52407,20039
27457,52357,19950
27397,52310,19863
27337,52264,19778
27279,52218,19695
27221,52172,19613
27162,52125,19532
27103,52079,19450
27046,52036,19368
26991,51994,19286
26933,51951,19204
26875,51905,19122
26816,51857,19043
26754,51805,18964
26691,51748,18881
26626,51691,18795
26559,51633,18710
26491,51572,18628
26420,51512,18546
26348,51451,18463
26274,51390,18378
26198,51330,18290
26123,51273,18199
26052,51216,18109
25985,51160,18022
25922,51107,17940
25867,51061,17868
25826,51028,17811
25808,51013,17784
25824,51025,17803
25886,51080,17888
26012,51189,18053
26213,51364,18313
26492,51606,18675
26845,51912,19134
27267,52272,19680
27742,52677,20295
28254,53111,20954
28782,53560,21637
29311,54008,22323
29823,54442,22994
30309,54852,23637
30767,55237,24240
31191,55593,24795
31574,55913,25300
31915,56195,25751
32210,56440,26147
32460,56646,26483
32666,56815,26762
32832,56950,26984
32958,57055,27154
33044,57129,27274
33092,57169,27345
33102,57175,27367
33078,57149,27340
33021,57097,27268
32937,57021,27161
32827,56924,27022
32688,56804,26847
32519,56659,26634
32322,56492,26391
32101,56306,26122
31861,56105,25828
31607,55890,25513
31343,55666,25185
31074,55437,24846
30803,55208,24500
30532,54980,24151
30262,54753,23799
29990,54525,23445
29719,54295,23087
29448,54063,22725
29176,53831,22360
28906,53600,21998
28643,53375,21646
28391,53160,21310
28156,52962,20997
27949,52788,20718
27774,52645,20482
27637,52537,20298
27539,52465,20170
27484,52429,20102
27474,52430,20095
27509,52470,20146
27587,52545,20250
27703,52650,20401
27853,52782,20592
28030,52939,20816
28229,53111,21068
28442,53292,21338
28662,53479,21619
28882,53669,21904
29094,53853,22183
29291,54023,22447
29469,54176,22685
29626,54312,22895
29762,54427,23074
29876,54522,23222
29967,54593,23335
30030,54641,23415
30066,54668,23464
30079,54677,23480
30069,54667,23467
30035,54637,23425
29979,54589,23355
29904,54530,23259
29813,54460,23141
29706,54373,23007
29585,54270,22856
29451,54155,22685
29308,54032,22499
29155,53900,22298
28992,53760,22089
28824,53618,21872
28651,53476,21647
28471,53331,21415
28287,53182,21179
28106,53033,20940
27927,52886,20704
27750,52739,20473
27576,52595,20251
27408,52456,20039
27248,52324,19837
27097,52197,19642
26952,52076,19453
26816,51960,19270
26689,51851,19096
26567,51748,18936
26450,51652,18791
26341,51564,18656
26240,51483,18530
26147,51407,18411
26057,51335,18296
25972,51265,18186
25888,51199,18082
25807,51138,17984
25732,51079,17888
25665,51025,17794
25604,50975,17705
25546,50930,17621
25491,50887,17540
25437,50844,17460
25385,50799,17382
25331,50754,17307
25278,50709,17238
25227,50666,17174
25173,50624,17112
25115,50585,17051
25056,50546,16988
24997,50506,16923
24939,50463,16859
24882,50419,16793
24827,50374,16725
24776,50330,16660
24727,50288,16596
24678,50249,16534
24634,50214,16475
24597,50185,16422
24568,50162,16378
24553,50152,16353
24568,50164,16364
24620,50209,16424
24718,50292,16549
24874,50425,16754
25101,50616,17053
25404,50872,17452
25781,51191,17951
26225,51566,18535
26720,51985,19187
27247,52432,19879
27786,52890,20590
28323,53349,21297
28849,53798,21985
29353,54224,22639
29824,54618,23253
30253,54980,23819
30640,55310,24333
30983,55604,24796
31280,55859,25205
31533,56075,25557
31747,56255,25851
31920,56398,26087
32050,56502,26266
32136,56570,26390
32186,56605,26462
32200,56613,26487
32180,56593,26467
32127,56543,26402
32046,56468,26298
31937,56373,26160
31802,56255,25990
31641,56112,25785
31456,55946,25546
31248,55761,25279
31022,55563,24990
30783,55354,24680
30534,55135,24355
30275,54908,24021
30008,54679,23678
29735,54449,23328
29458,54215,22972
29173,53976,22609
28880,53731,22235
28582,53484,21852
28283,53237,21467
27985,52994,21083
27695,52762,20706
27422,52546,20347
27174,52347,20019
26957,52170,19729
26775,52024,19485
26636,51913,19296
26545,51843,19169
26502,51815,19108
26510,51828,19114
26569,51883,19186
26676,51977,19318
26822,52104,19503
27003,52257,19733
27210,52432,19998
27436,52621,20292
27672,52821,20605
27910,53026,20926
28145,53227,21241
28369,53416,21540
28579,53592,21816
28774,53752,22068
28949,53895,22294
29099,54020,22494
29224,54124,22663
29324,54207,22799
29401,54270,22900
29454,54311,22969
29482,54333,23008
29487,54335,23015
29470,54317,22990
29431,54278,22934
29365,54218,22850
29278,54144,22740
29174,54059,22610
29055,53960,22461
28921,53849,22295
28777,53728,22116
28626,53601,21928
28472,53468,21729
28312,53329,21521
28149,53184,21305
27983,53035,21083
27814,52886,20857
27642,52741,20629
27471,52601,20403
27303,52465,20181
27138,52330,19964
26976,52198,19751
26822,52071,19545
26675,51949,19350
26532,51831,19166
26393,51718,18990
26262,51611,18818
26137,51510,18653
26019,51414,18494
25909,51323,18344
25806,51237,18203
25708,51157,18071
25611,51081,17947
25516,51012,17828
25427,50947,17716
25342,50883,17608
25258,50818,17504
25177,50753,17402
25101,50691,17299
25029,50631,17196
24960,50573,17093
24894,50520,16992
24829,50471,16894
24764,50422,16797
24696,50371,16707
24628,50321,16622
24562,50271,16539
24499,50219,16455
24438,50165,16369
24378,50111,16283
24317,50060,16201
24260,50011,16126
24204,49962,16060
24154,49915,16001
24112,49877,15952
24079,49852,15916
24064,49844,15905
24076,49861,15930
24129,49909,16006
24237,50002,16155
24416,50152,16397
24675,50373,16744
25018,50668,17200
25441,51030,17756
25933,51447,18395
26478,51906,19095
27056,52392,19838
27649,52889,20602
28238,53382,21365
28812,53862,22111
29357,54319,22828
29865,54746,23507
30332,55138,24134
30755,55492,24704
31127,55806,25213
31447,56077,25659
31718,56308,26042
31944,56499,26363
32128,56650,26624
32270,56762,26828
32372,56841,26978
32436,56887,27074
32463,56900,27116
32454,56883,27107
32415,56840,27055
32348,56772,26963
32252,56681,26837
32130,56571,26678
31987,56443,26486
31822,56297,26266
31636,56136,26024
31431,55964,25762
31214,55785,25484
30987,55599,25194
30753,55412,24897
30517,55224,24597
30283,55035,24299
30053,54846,24003
29820,54651,23705
29582,54448,23402
29342,54240,23092
29099,54032,22779
28857,53826,22467
28617,53626,22159
28388,53435,21857
28173,53255,21569
27975,53091,21303
27799,52950,21071
27655,52836,20878
27548,52751,20735
27481,52696,20645
27453,52676,20606
27466,52691,20617
27518,52741,20682
27604,52822,20799
27722,52929,20958
27869,53058,21148
28034,53198,21362
28211,53347,21591
28397,53504,21829
28586,53664,22070
28773,53824,22308
28951,53976,22538
29117,54119,22755
29271,54251,22957
29406,54369,23140
29522,54468,23297
29619,54548,23424
29694,54606,23522
29744,54641,23590
29771,54657,23629
29779,54657,23643
29766,54643,23633
29733,54614,23597
29679,54571,23540
29613,54517,23462
29536,54451,23364
29445,54371,23250
29341,54281,23122
29227,54183,22981
29105,54079,22827
28978,53967,22662
28843,53849,22485
28700,53726,22295
28552,53598,22095
28398,53465,21888
28243,53333,21678
28089,53205,21468
27935,53080,21260
27778,52954,21054
27623,52831,20852
27475,52711,20655
27331,52595,20463
27188,52479,20274
27051,52366,20091
26919,52258,19915
26795,52153,19747
26680,52053,19587
26570,51956,19434
26466,51864,19286
26364,51773,19144
26264,51685,19009
26167,51603,18878
26076,51526,18754
25989,51452,18638
25904,51380,18527
25822,51310,18422
25743,51244,18322
25668,51180,18226
25596,51117,18132
25523,51056,18039
25451,51000,17946
25381,50947,17853
25313,50895,17760
25249,50843,17667
25184,50792,17578
25118,50741,17494
25052,50688,17410
24984,50634,17325
24918,50582,17241
24856,50534,17164
24801,50488,17096
24754,50449,17036
24718,50417,16983
24693,50394,16944
24681,50385,16923
24692,50398,16930
24734,50441,16980
24822,50523,17093
24971,50655,17287
25195,50848,17578
25498,51107,17973
25878,51431,18467
26325,51810,19050
26826,52233,19705
27363,52686,20411
27918,53154,21145
28480,53626,21885
29033,54089,22615
29562,54536,23323
30057,54959,23996
30516,55351,24625
30937,55709,25204
31319,56029,25731
31659,56311,26203
31958,56556,26616
32217,56766,26970
32434,56939,27265
32609,57075,27504
32746,57178,27689
32845,57252,27824
32904,57297,27909
32925,57314,27943
32911,57305,27930
32867,57270,27874
32794,57209,27778
32692,57122,27644
32566,57012,27482
32421,56885,27297
32258,56743,27092
32081,56590,26871
31894,56433,26636
31702,56270,26388
31503,56102,26130
31303,55931,25867
31103,55762,25606
30906,55594,25346
30708,55426,25086
30512,55260,24826
30318,55095,24567
30123,54930,24307
29924,54763,24046
29724,54597,23783
29530,54434,23523
29343,54280,23273
29167,54135,23043
29010,54004,22839
28879,53894,22669
28777,53810,22537
28701,53750,22441
28654,53718,22382
28639,53715,22363
28655,53735,22382
28698,53774,22438
28766,53832,22526
28856,53910,22641
28964,54003,22780
29086,54108,22941
29218,54221,23116
29359,54338,23298
29504,54455,23481
29645,54570,23665
29780,54680,23846
29906,54784,24017
30019,54877,24173
30117,54958,24312
30200,55027,24431
30269,55084,24526
30321,55128,24596
30356,55159,24641
30378,55177,24662
30385,55181,24661
30375,55172,24640
30348,55147,24597
30304,55108,24534
30245,55056,24454
30174,54997,24360
30092,54928,24250
30000,54850,24125
29897,54764,23988
29783,54670,23838
29657,54568,23680
29525,54461,23515
29387,54348,23343
29245,54231,23166
29103,54111,22988
28963,53991,22809
28825,53872,22628
28685,53752,22448
28545,53634,22268
28406,53520,22088
28269,53408,21909
28136,53299,21733
28009,53194,21561
27889,53091,21394
27775,52993,21232
27665,52898,21076
27562,52806,20928
27467,52720,20791
27375,52638,20667
27286,52562,20553
27202,52490,20444
27122,52422,20339
27044,52357,20238
26967,52295,20139
26891,52237,20042
26818,52183,19944
26749,52132,19848
26681,52080,19756
26618,52027,19669
26558,51976,19584
26497,51927,19501
26437,51877,19419
26378,51827,19337
26323,51773,19254
26270,51718,19173
26217,51664,19091
26164,51612,19011
26113,51566,18935
26060,51525,18866
26006,51487,18801
25953,51451,18739
25902,51416,18684
25853,51381,18634
25807,51346,18587
25764,51314,18545
25730,51289,18513
25712,51275,18498
25720,51281,18509
25763,51314,18561
25850,51388,18670
25990,51512,18851
26194,51693,19120
26470,51934,19484
26816,52235,19938
27224,52590,20474
27683,52985,21076
28177,53407,21726
28693,53842,22405
29218,54280,23096
29740,54714,23785
30251,55136,24459
30739,55541,25110
31198,55919,25728
31626,56269,26305
32018,56593,26835
32371,56888,27316
32683,57149,27747
32954,57376,28126
33185,57571,28454
33377,57733,28728
33530,57863,28948
33647,57961,29114
33729,58031,29228
33775,58070,29295
33788,58080,29317
33772,58064,29295
33727,58023,29233
33655,57958,29137
33559,57872,29006
33444,57767,28842
33314,57650,28655
33170,57521,28452
33014,57384,28240
32853,57239,28020
32686,57092,27796
32513,56943,27568
32336,56793,27339
32159,56641,27110
31983,56488,26881
31808,56338,26653
31636,56188,26422
31463,56035,26187
31286,55878,25950
31106,55721,25714
30927,55569,25481
30759,55428,25258
30604,55297,25051
30465,55177,24864
30347,55078,24705
30254,55005,24581
30191,54956,24496
30156,54935,24449
30150,54939,24439
30172,54966,24464
30221,55007,24525
30292,55064,24616
30381,55138,24729
30482,55229,24858
30592,55331,24999
30709,55438,25150
30833,55548,25306
30959,55656,25464
31083,55761,25621
31197,55858,25772
31302,55946,25913
31394,56024,26041
31475,56092,26155
31543,56150,26252
31601,56196,26330
31647,56229,26387
31682,56253,26427
31704,56267,26450
31716,56272,26459
31713,56266,26450
31692,56246,26418
31651,56209,26363
31594,56157,26289
31524,56092,26197
31443,56014,26089
31353,55928,25966
31255,55834,25830
31151,55737,25685
31039,55636,25530
30919,55530,25364
30794,55421,25191
30664,55311,25014
30531,55199,24834
30398,55085,24655
30266,54973,24474
30130,54859,24288
29989,54747,24101
29848,54636,23916
29707,54523,23734
29570,54408,23555
29439,54294,23383
29319,54184,23221
29209,54083,23066
29103,53992,22920
29001,53907,22789
28902,53828,22669
28809,53755,22555
28721,53685,22446
28639,53617,22338
28562,53553,22235
28490,53494,22137
28422,53441,22045
28358,53391,21958
28299,53342,21878
28247,53294,21802
28196,53245,21729
28144,53198,21659
28098,53156,21592
28057,53117,21528
28019,53081,21468
27983,53048,21413
27948,53018,21362
27917,52993,21315
27885,52970,21270
27856,52947,21224
27827,52921,21176
27795,52892,21129
27762,52863,21086
27728,52833,21043
27692,52801,20995
27650,52766,20943
27601,52725,20884
27547,52680,20819
27490,52633,20747
27433,52586,20676
27378,52540,20607
27327,52496,20542
27282,52454,20480
27240,52415,20422
27198,52382,20368
27162,52357,20321
27136,52343,20284
27123,52343,20268
27133,52362,20286
27181,52410,20352
27279,52498,20485
27437,52635,20698
27661,52828,20996
27952,53078,21379
28307,53379,21844
28712,53721,22378
29157,54093,22964
29631,54489,23584
30120,54898,24224
30610,55311,24873
31093,55723,25516
31563,56126,26138
32014,56512,26732
32436,56874,27295
32825,57207,27825
33184,57511,28314
33513,57788,28758
33806,58034,29153
34064,58244,29497
34286,58416,29784
34467,58552,30017
34603,58654,30196
34696,58725,30322
34753,58765,30400
34780,58778,30435
34776,58764,30429
34742,58724,30382
34679,58662,30295
34591,58579,30171
34476,58476,30016
34342,58358,29836
34192,58227,29635
34029,58084,29421
33853,57931,29195
33669,57773,28957
33481,57614,28712
33291,57454,28464
33101,57296,28214
32914,57140,27967
32731,56984,27727
32546,56828,27491
32360,56672,27253
32176,56514,27012
31997,56357,26773
31823,56204,26541
31658,56060,26319
31503,55926,26109
31365,55805,25920
31247,55701,25759
31151,55616,25631
31078,55555,25536
31032,55515,25473
31009,55493,25442
31011,55492,25442
31039,55517,25472
31091,55563,25532
31164,55629,25621
31257,55712,25734
31365,55807,25864
31484,55909,26011
31606,56013,26170
31727,56117,26334
31848,56222,26495
31962,56321,26648
32064,56411,26790
32153,56490,26915
32232,56560,27024
32301,56619,27114
32357,56663,27186
32397,56694,27237
32419,56711,27265
32427,56716,27273
32421,56709,27263
32401,56691,27234
32370,56660,27188
32327,56619,27124
32269,56566,27039
32195,56500,26934
32111,56420,26815
32015,56330,26687
31909,56232,26546
31797,56133,26394
31680,56032,26232
31557,55926,26060
31426,55812,25883
31289,55693,25701
31151,55571,25515
31010,55446,25325
30867,55321,25132
30725,55197,24938
30587,55077,24747
30451,54961,24560
30316,54852,24379
30185,54746,24205
30059,54643,24036
29936,54543,23872
29815,54446,23711
29699,54352,23555
29587,54258,23405
29476,54163,23257
29369,54070,23115
29272,53985,22979
29187,53906,22850
29109,53835,22729
29036,53771,22618
28970,53711,22517
28908,53654,22426
28850,53600,22342
28795,53549,22260
28745,53502,22182
28698,53460,22112
28652,53424,22049
28603,53390,21987
28554,53354,21924
28507,53315,21860
28459,53274,21796
28411,53232,21731
28363,53193,21669
28315,53156,21610
28265,53120,21550
28214,53084,21488
28163,53050,21425
28115,53015,21363
28071,52979,21301
28029,52942,21235
27986,52904,21167
27939,52865,21101
27889,52822,21035
27839,52778,20969
27789,52731,20898
27736,52680,20821
27679,52625,20737
27621,52571,20652
27562,52518,20568
27502,52466,20487
27443,52419,20410
27387,52376,20336
27334,52337,20271
27287,52301,20218
27253,52276,20180
27244,52271,20169
27268,52293,20201
27334,52352,20290
27455,52456,20450
27640,52616,20694
27894,52836,21024
28212,53114,21443
28590,53441,21941
29016,53806,22500
29474,54198,23101
29950,54605,23728
30432,55013,24365
30913,55415,24999
31381,55802,25617
31825,56171,26208
32240,56517,26763
32622,56837,27276
32971,57125,27746
33282,57382,28168
33557,57610,28540
33795,57807,28859
33995,57973,29127
34157,58106,29342
34283,58210,29506
34372,58283,29619
34424,58323,29688
34442,58330,29712
34429,58307,29689
34387,58260,29622
34313,58188,29518
34206,58093,29378
34073,57976,29205
33920,57844,29006
33751,57701,28786
33566,57546,28550
33371,57384,28299
33169,57214,28034
32960,57038,27760
32747,56858,27481
32534,56678,27199
32322,56500,26916
32108,56318,26630
31893,56131,26341
31677,55941,26048
31459,55751,25754
31237,55560,25465
31019,55375,25185
30813,55200,24917
30621,55037,24667
30447,54889,24440
30297,54762,24242
30178,54660,24077
30093,54585,23952
30043,54541,23874
30030,54529,23845
30053,54546,23862
30106,54591,23921
30184,54661,24019
30285,54754,24149
30406,54862,24304
30541,54980,24477
30683,55102,24663
30830,55227,24855
30978,55355,25048
31123,55480,25239
31259,55597,25422
31386,55704,25589
31503,55800,25741
31607,55886,25874
31695,55960,25987
31768,56021,26079
31824,56067,26147
31861,56096,26194
31879,56108,26219
31880,56107,26219
31865,56092,26198
31834,56064,26154
31785,56022,26089
31720,55971,26004
31643,55910,25902
31553,55838,25784
31452,55755,25651
31340,55662,25505
31222,55560,25348
31097,55450,25182
30969,55335,25006
30839,55218,24822
30707,55101,24633
30572,54980,24443
30436,54857,24252
30296,54733,24057
30152,54606,23859
30005,54478,23660
29855,54352,23466
29706,54232,23277
29559,54113,23091
29413,53990,22907
29269,53867,22726
29131,53752,22553
29002,53645,22390
28880,53543,22235
28764,53445,22086
28657,53352,21944
28556,53264,21806
28462,53184,21674
28374,53111,21550
28294,53043,21434
28218,52978,21329
28146,52918,21231
28079,52862,21139
28016,52810,21050
27957,52759,20965
27901,52711,20884
27845,52664,20807
27791,52619,20735
27737,52576,20667
27685,52536,20603
27640,52500,20541
27595,52468,20482
27550,52436,20426
27508,52401,20371
27470,52366,20314
27432,52332,20256
27391,52295,20197
27347,52255,20136
27303,52216,20076
27257,52179,20016
27207,52141,19955
27155,52103,19892
27103,52067,19826
27052,52031,19758
27001,51992,19687
26949,51948,19613
26895,51902,19538
26839,51852,19462
26778,51802,19381
26713,51751,19295
26648,51699,19206
26580,51643,19112
26510,51583,19017
26439,51521,18924
26373,51464,18839
26316,51413,18763
26275,51376,18704
26260,51361,18674
26280,51378,18689
26348,51437,18770
26476,51548,18934
26674,51720,19191
26943,51956,19543
27281,52251,19988
27679,52598,20514
28131,52989,21107
28623,53411,21749
29134,53848,22419
29649,54285,23096
30155,54711,23763
30640,55115,24405
31095,55490,25008
31512,55834,25562
31891,56146,26061
32229,56423,26506
32526,56665,26902
32782,56871,27244
32997,57045,27532
33171,57186,27765
33302,57295,27948
33395,57372,28080
33454,57419,28163
33477,57435,28200
33463,57420,28192
33415,57377,28139
33339,57308,28042
33234,57215,27904
33100,57100,27725
32939,56962,27509
32758,56804,27265
32558,56630,26996
32341,56444,26708
32114,56253,26407
31880,56054,26095
31639,55848,25774
31394,55637,25449
31147,55425,25121
30897,55212,24792
30643,54993,24459
30384,54769,24117
30123,54540,23766
29859,54312,23410
29595,54086,23054
29336,53865,22705
29087,53653,22369
28853,53454,22052
28639,53274,21762
28450,53120,21509
28292,52995,21299
28173,52904,21139
28094,52849,21034
28057,52828,20987
28064,52841,20997
28113,52886,21056
28199,52962,21160
28317,53064,21306
28463,53190,21484
28629,53333,21691
28809,53488,21922
28997,53646,22167
29190,53806,22417
29380,53962,22664
29562,54113,22900
29733,54254,23121
29888,54382,23321
30023,54491,23498
30133,54580,23648
30219,54651,23768
30284,54705,23855
30327,54741,23911
30347,54756,23936
30344,54755,23932
30321,54736,23901
30282,54702,23847
30225,54653,23767
30149,54588,23659
30055,54507,23527
29944,54410,23371
29821,54303,23198
29690,54189,23011
29552,54070,22811
29404,53944,22601
29244,53812,22383
29075,53670,22158
28899,53521,21927
28717,53367,21692
28532,53211,21454
28344,53055,21211
