green_channel,red_channel,ir_channel,Anomaly_ch0,Anomaly_ch1,Anomaly_ch2
22485,17546,28659,0,0,0
22470,17528,28619,0,0,0
22463,17526,28595,0,0,0
22448,17526,28572,0,0,0
22429,17515,28537,0,0,0
22417,17501,28500,0,0,0
22404,17494,28473,0,0,0
22380,17485,28442,0,0,0
22354,17464,28399,0,0,0
22344,17446,28364,0,0,0
22337,17440,28344,0,0,0
22314,17430,28321,0,0,0
22287,17411,28291,0,0,0
22270,17399,28268,0,0,0
22248,17396,28254,0,0,0
22209,17388,28233,0,0,0
22172,17372,28201,0,0,0
22155,17364,28178,0,0,0
22147,17363,28166,0,0,0
22127,17352,28144,0,0,0
22108,17332,28112,0,0,0
22100,17319,28089,0,0,0
22091,17312,28073,0,0,0
22070,17296,28043,0,0,0
22053,17276,28004,0,0,0
22045,17266,27979,0,0,0
22031,17263,27966,0,0,0
22002,17252,27942,0,0,0
21973,17236,27911,0,0,0
21956,17228,27890,0,0,0
21935,17222,27872,0,0,0
21908,17209,27840,0,0,0
21888,17197,27809,0,0,0
21881,17199,27798,0,0,0
21869,17200,27791,0,0,0
21845,17184,27765,0,0,0
21824,17161,27730,0,0,0
21811,17149,27710,0,0,0
21793,17140,27695,0,0,0
21769,17123,27667,0,0,0
21758,17108,27640,0,0,0
21757,17106,27630,0,0,0
21745,17103,27624,0,0,0
21723,17086,27601,0,0,0
21713,17071,27577,0,0,0
21714,17071,27566,0,0,0
21711,17069,27554,0,0,0
21705,17056,27531,0,0,0
21702,17042,27507,0,0,0
21690,17036,27491,0,0,0
21660,17023,27463,0,0,0
21627,16996,27415,0,0,0
21607,16974,27377,0,0,0
21589,16968,27357,0,0,0
21559,16957,27332,0,0,0
21533,16939,27298,0,0,0
21523,16931,27272,0,0,0
21510,16934,27258,0,0,0
21488,16934,27237,0,0,0
21479,16932,27214,0,0,0
21498,16943,27212,0,0,0
21528,16971,27240,0,0,0
21558,17001,27279,0,0,0
21607,17033,27327,0,0,0
21684,17083,27404,0,0,0
21772,17149,27509,0,0,0
21865,17213,27624,0,0,0
21977,17276,27751,0,0,0
22110,17354,27908,0,0,0
22244,17444,28088,0,0,0
22373,17528,28265,0,0,0
22508,17612,28441,0,0,0
22647,17705,28632,0,0,0
22772,17797,28825,0,0,0
22880,17874,28999,0,0,0
22992,17947,29164,0,0,0
23114,18033,29339,0,0,0
23232,18122,29514,0,0,0
23340,18197,29666,0,0,0
23449,18265,29805,0,0,0
23558,18340,29942,0,0,0
23646,18409,30066,0,0,0
23714,18455,30159,0,0,0
23779,18491,30237,0,0,0
23842,18533,30318,0,0,0
23888,18572,30391,0,0,0
23919,18593,30441,0,0,0
